[2026-01-27 17:45:42] [DEBUG] JUBLINGREA: RSI condition failed (32.55)
[2026-01-27 17:45:42] [DEBUG] JUBLPHARMA: RSI condition failed (31.84)
[2026-01-27 17:45:42] [DEBUG] JWL: RSI condition failed (48.65)
[2026-01-27 17:45:42] [DEBUG] JYOTHYLAB: RSI condition failed (24.32)
[2026-01-27 17:45:42] [DEBUG] JYOTICNC: RSI condition failed (20.27)
[2026-01-27 17:45:42] [DEBUG] KAJARIACER: RSI condition failed (26.60)
[2026-01-27 17:45:42] [DEBUG] KALYANKJIL: RSI condition failed (16.88)
[2026-01-27 17:45:42] [DEBUG] KAYNES: RSI condition failed (23.22)
[2026-01-27 17:45:42] [DEBUG] KEC: RSI condition failed (28.10)
[2026-01-27 17:45:42] [DEBUG] KEI: RSI condition failed (28.98)
[2026-01-27 17:45:42] [DEBUG] KFINTECH: RSI condition failed (38.19)
[2026-01-27 17:45:42] [DEBUG] KIMS: RSI condition failed (44.74)
[2026-01-27 17:45:42] [DEBUG] KIRLOSBROS: RSI condition failed (37.32)
[2026-01-27 17:45:42] [DEBUG] KIRLOSENG: RSI condition failed (37.29)
[2026-01-27 17:45:42] [DEBUG] KOTAKBANK: RSI condition failed (34.27)
[2026-01-27 17:45:42] [DEBUG] KPIL: RSI condition failed (36.31)
[2026-01-27 17:45:42] [DEBUG] KPITTECH: RSI condition failed (34.87)
[2026-01-27 17:45:42] [DEBUG] KPRMILL: RSI condition failed (53.51)
[2026-01-27 17:45:42] [DEBUG] KSB: RSI condition failed (34.94)
[2026-01-27 17:45:42] [DEBUG] LALPATHLAB: RSI condition failed (45.10)
[2026-01-27 17:45:42] [DEBUG] LATENTVIEW: RSI condition failed (27.19)
[2026-01-27 17:45:42] [DEBUG] LAURUSLABS: RSI condition failed (39.67)
[2026-01-27 17:45:42] [DEBUG] LEMONTREE: RSI condition failed (25.02)
[2026-01-27 17:45:42] [DEBUG] LICHSGFIN: RSI condition failed (35.16)
[2026-01-27 17:45:42] [DEBUG] LICI: RSI condition failed (33.04)
[2026-01-27 17:45:42] [DEBUG] LINDEINDIA: RSI condition failed (43.44)
[2026-01-27 17:45:42] [DEBUG] LLOYDSME: RSI condition failed (28.14)
[2026-01-27 17:45:42] [DEBUG] LODHA: RSI condition failed (19.04)
[2026-01-27 17:45:42] [DEBUG] LT: RSI condition failed (29.44)
[2026-01-27 17:45:42] [DEBUG] LTF: RSI condition failed (38.55)
[2026-01-27 17:45:42] [DEBUG] LTFOODS: RSI condition failed (38.16)
[2026-01-27 17:45:42] [DEBUG] LTIM: RSI condition failed (42.87)
[2026-01-27 17:45:42] [DEBUG] LTTS: RSI condition failed (27.03)
[2026-01-27 17:45:42] [DEBUG] LUPIN: RSI condition failed (50.33)
[2026-01-27 17:45:42] [DEBUG] M&M: RSI condition failed (25.10)
[2026-01-27 17:45:42] [DEBUG] M&MFIN: RSI condition failed (48.30)
[2026-01-27 17:45:42] [DEBUG] MAHABANK: RSI condition failed (58.19)
[2026-01-27 17:45:42] [DEBUG] MAHSCOOTER: RSI condition failed (35.48)
[2026-01-27 17:45:42] [DEBUG] MAHSEAMLES: RSI condition failed (28.90)
[2026-01-27 17:45:42] [DEBUG] MANAPPURAM: RSI condition failed (45.55)
[2026-01-27 17:45:42] [DEBUG] MANKIND: RSI condition failed (39.45)
[2026-01-27 17:45:42] [DEBUG] MANYAVAR: RSI condition failed (23.71)
[2026-01-27 17:45:42] [DEBUG] MAPMYINDIA: RSI condition failed (19.21)
[2026-01-27 17:45:42] [DEBUG] MARICO: RSI condition failed (47.20)
[2026-01-27 17:45:42] [DEBUG] MARUTI: RSI condition failed (29.23)
[2026-01-27 17:45:42] [DEBUG] MAXHEALTH: RSI condition failed (28.84)
[2026-01-27 17:45:42] [DEBUG] MAZDOCK: RSI condition failed (31.74)
[2026-01-27 17:45:42] [DEBUG] MCX: Close below 30D high
[2026-01-27 17:45:42] [DEBUG] MEDANTA: RSI condition failed (28.03)
[2026-01-27 17:45:42] [DEBUG] METROPOLIS: RSI condition failed (37.13)
[2026-01-27 17:45:42] [DEBUG] MFSL: RSI condition failed (32.78)
[2026-01-27 17:45:42] [DEBUG] MGL: RSI condition failed (35.55)
[2026-01-27 17:45:42] [DEBUG] MINDACORP: RSI condition failed (38.08)
[2026-01-27 17:45:42] [DEBUG] MMTC: RSI condition failed (49.12)
[2026-01-27 17:45:42] [DEBUG] MOTHERSON: RSI condition failed (34.98)
[2026-01-27 17:45:42] [DEBUG] MOTILALOFS: RSI condition failed (29.14)
[2026-01-27 17:45:42] [DEBUG] MPHASIS: RSI condition failed (45.80)
[2026-01-27 17:45:42] [DEBUG] MRF: RSI condition failed (24.49)
[2026-01-27 17:45:42] [DEBUG] MRPL: RSI condition failed (55.98)
[2026-01-27 17:45:42] [DEBUG] MSUMI: RSI condition failed (33.65)
[2026-01-27 17:45:42] [DEBUG] MUTHOOTFIN: RSI condition failed (51.36)
[2026-01-27 17:45:42] [DEBUG] NAM-INDIA: RSI condition failed (34.95)
[2026-01-27 17:45:42] [DEBUG] NATCOPHARM: RSI condition failed (35.72)
[2026-01-27 17:45:42] [DEBUG] NAUKRI: RSI condition failed (37.92)
[2026-01-27 17:45:42] [DEBUG] NAVA: RSI condition failed (38.39)
[2026-01-27 17:45:42] [DEBUG] NAVINFLUOR: RSI condition failed (44.47)
