[2026-01-27 22:31:43] [INFO] Momentum Engine Started (Chartink Logic)
[2026-02-06 01:23:09] 697RJ51A-SG | SKIP insufficient candles
[2026-02-06 01:23:10] 695TN31-SG | SKIP insufficient candles
[2026-02-06 01:23:10] 708UP31-SG | SKIP insufficient candles
[2026-02-06 01:23:10] 705WB31-SG | SKIP insufficient candles
[2026-02-06 01:23:10] 707AS31-SG | SKIP insufficient candles
[2026-02-06 01:23:12] MRPL | STATE=WAITING
[2026-02-06 01:23:12] MRPL | ENTRY → ACTIVE
[2026-02-06 01:23:12] HAL | STATE=WAITING
[2026-02-06 01:23:12] HAL | WAITING → DULL
[2026-02-06 01:23:14] 63PY26-SG | SKIP insufficient candles
[2026-02-06 01:23:14] 67AS27-SG | SKIP insufficient candles
[2026-02-06 01:23:14] 708CG29-SG | SKIP insufficient candles
[2026-02-06 01:23:15] 707GJ31-SG | SKIP insufficient candles
[2026-02-06 01:23:15] 708MH31-SG | SKIP insufficient candles
[2026-02-06 01:23:15] 719SK31-SG | SKIP insufficient candles
[2026-02-06 01:23:16] 72GA31-SG | SKIP insufficient candles
